,index,customer_code,demand,longitude,latitude,cluster,local_hub,hub
0,0,SF0001,6,116.7094784,40.20314211,10,0,SF0012
1,1,SF0002,111,116.7098563,40.20057149,10,0,SF1565
2,2,SF0003,37,116.7089305,40.20030392,10,0,SF1565
3,3,SF0004,20,116.7113756,40.19947299,10,0,SF1565
4,4,SF0005,9,116.7098383,40.19969597,10,0,SF1565
5,5,SF0006,62,116.7091876,40.20187641,10,0,SF1565
6,6,SF0007,41,116.7084024,40.20357149,10,0,SF0012
7,7,SF0008,62,116.7090369,40.2026425,10,0,SF0012
8,8,SF0009,74,116.7089468,40.20315032,10,0,SF0012
9,9,SF0010,52,116.7091151,40.20465499,10,0,SF0012
10,10,SF0011,29,116.7102045,40.204145,10,0,SF0012
11,11,SF0012,27,116.7091123,40.20465499,10,1,SF0012
12,12,SF0013,59,116.7096999,40.20552335,10,0,SF0012
13,13,SF0014,31,116.7095747,40.2061592,10,0,SF0012
14,14,SF0015,40,116.7090016,40.20692719,10,0,SF0012
15,15,SF0016,4,116.7097353,40.20704858,10,0,SF0012
16,16,SF0017,67,116.707036,40.20640446,10,0,SF1322
17,17,SF0018,17,116.7082906,40.20432801,10,0,SF0012
18,18,SF0019,50,116.7073369,40.20516328,10,0,SF0012
19,19,SF0020,28,116.7074226,40.20407781,10,0,SF0012
20,20,SF0021,40,116.7077578,40.20660348,10,0,SF1322
21,21,SF0022,24,116.7082824,40.20684296,10,0,SF0012
22,22,SF0023,50,116.7078069,40.20564142,10,0,SF0012
23,23,SF0024,56,116.7082865,40.20435285,10,0,SF0012
24,24,SF0025,3,116.7078917,40.20135341,10,0,SF0012
25,25,SF0026,5,116.713533,40.19886253,10,0,SF1565
26,26,SF0027,47,116.7312974,40.20848853,17,0,SF0053
27,27,SF0028,12,116.7320786,40.2092478,17,0,SF0996
28,28,SF0029,8,116.7313068,40.20759172,17,1,SF0053
29,29,SF0030,56,116.7287971,40.20846699,17,0,SF0053
30,30,SF0031,33,116.7285598,40.20921366,17,0,SF0053
31,31,SF0032,43,116.7283983,40.20797492,17,0,SF0053
32,32,SF0033,43,116.7299116,40.20849464,17,0,SF0053
33,33,SF0034,30,116.7297815,40.20928178,17,0,SF0996
